item,category,min_prep,max_prep
Classic Baby Blanket,Baby Products,3,8
Classic Baby Monitor,Baby Products,4,10
Classic Baby Rattle 2 Pack,Baby Products,3,7
Classic Baby Rattle 3 Pack,Baby Products,2,5
Classic Baby Rattle 4 Pack,Baby Products,3,7
Classic Baby Rattle Single,Baby Products,2,5
Classic Baby Shampoo,Baby Products,2,5
Classic Baby Stroller 2 Pack,Baby Products,6,14
Classic Baby Stroller 3 Pack,Baby Products,5,12
Classic Baby Stroller 4 Pack,Baby Products,6,14
Classic Baby Stroller Single,Baby Products,5,12
Classic Baby Wipes 2 Pack,Baby Products,3,7
Classic Baby Wipes 3 Pack,Baby Products,2,5
Classic Baby Wipes 4 Pack,Baby Products,3,7
Classic Baby Wipes Single,Baby Products,2,5
Classic Bottle Brush 2 Pack,Baby Products,3,7
Classic Bottle Brush 3 Pack,Baby Products,2,5
Classic Bottle Brush 4 Pack,Baby Products,3,7
Classic Bottle Brush Single,Baby Products,2,5
Deluxe Baby Blanket,Baby Products,3,9
Deluxe Baby Monitor,Baby Products,4,11
Deluxe Baby Rattle 2 Pack,Baby Products,3,8
Deluxe Baby Rattle 3 Pack,Baby Products,2,6
Deluxe Baby Rattle 4 Pack,Baby Products,3,8
Deluxe Baby Rattle Single,Baby Products,2,6
Deluxe Baby Shampoo,Baby Products,2,6
Deluxe Baby Stroller 2 Pack,Baby Products,6,15
Deluxe Baby Stroller 3 Pack,Baby Products,5,13
Deluxe Baby Stroller 4 Pack,Baby Products,6,15
Deluxe Baby Stroller Single,Baby Products,5,13
Deluxe Baby Wipes 2 Pack,Baby Products,3,8
Deluxe Baby Wipes 3 Pack,Baby Products,2,6
Deluxe Baby Wipes 4 Pack,Baby Products,3,8
Deluxe Baby Wipes Single,Baby Products,2,6
Deluxe Bottle Brush 2 Pack,Baby Products,3,8
Deluxe Bottle Brush 3 Pack,Baby Products,2,6
Deluxe Bottle Brush 4 Pack,Baby Products,3,8
Deluxe Bottle Brush Single,Baby Products,2,6
Essential Baby Blanket,Baby Products,4,11
Essential Baby Monitor,Baby Products,5,13
Essential Baby Rattle 2 Pack,Baby Products,2,6
Essential Baby Rattle 3 Pack,Baby Products,3,8
Essential Baby Rattle 4 Pack,Baby Products,2,6
Essential Baby Rattle Single,Baby Products,3,8
Essential Baby Shampoo,Baby Products,3,8
Essential Baby Stroller 2 Pack,Baby Products,5,13
Essential Baby Stroller 3 Pack,Baby Products,6,15
Essential Baby Stroller 4 Pack,Baby Products,5,13
Essential Baby Stroller Single,Baby Products,6,15
Essential Baby Wipes 2 Pack,Baby Products,2,6
Essential Baby Wipes 3 Pack,Baby Products,3,8
Essential Baby Wipes 4 Pack,Baby Products,2,6
Essential Baby Wipes Single,Baby Products,3,8
Essential Bottle Brush 2 Pack,Baby Products,2,6
Essential Bottle Brush 3 Pack,Baby Products,3,8
Essential Bottle Brush 4 Pack,Baby Products,2,6
Essential Bottle Brush Single,Baby Products,3,8
Family Baby Blanket,Baby Products,3,8
Family Baby Monitor,Baby Products,4,10
Family Baby Rattle 2 Pack,Baby Products,3,7
Family Baby Rattle 3 Pack,Baby Products,2,5
Family Baby Rattle 4 Pack,Baby Products,3,7
Family Baby Rattle Single,Baby Products,2,5
Family Baby Shampoo,Baby Products,2,5
Family Baby Stroller 2 Pack,Baby Products,6,14
Family Baby Stroller 3 Pack,Baby Products,5,12
Family Baby Stroller 4 Pack,Baby Products,6,14
Family Baby Stroller Single,Baby Products,5,12
Family Baby Wipes 2 Pack,Baby Products,3,7
Family Baby Wipes 3 Pack,Baby Products,2,5
Family Baby Wipes 4 Pack,Baby Products,3,7
Family Baby Wipes Single,Baby Products,2,5
Family Bottle Brush 2 Pack,Baby Products,3,7
Family Bottle Brush 3 Pack,Baby Products,2,5
Family Bottle Brush 4 Pack,Baby Products,3,7
Family Bottle Brush Single,Baby Products,2,5
Large Baby Blanket,Baby Products,4,11
Large Baby Monitor,Baby Products,5,13
Large Baby Rattle 2 Pack,Baby Products,2,6
Large Baby Rattle 3 Pack,Baby Products,3,8
Large Baby Rattle 4 Pack,Baby Products,2,6
Large Baby Rattle Single,Baby Products,3,8
Large Baby Shampoo,Baby Products,3,8
Large Baby Stroller 2 Pack,Baby Products,5,13
Large Baby Stroller 3 Pack,Baby Products,6,15
Large Baby Stroller 4 Pack,Baby Products,5,13
Large Baby Stroller Single,Baby Products,6,15
Large Baby Wipes 2 Pack,Baby Products,2,6
Large Baby Wipes 3 Pack,Baby Products,3,8
Large Baby Wipes 4 Pack,Baby Products,2,6
Large Baby Wipes Single,Baby Products,3,8
Large Bottle Brush 2 Pack,Baby Products,2,6
Large Bottle Brush 3 Pack,Baby Products,3,8
Large Bottle Brush 4 Pack,Baby Products,2,6
Large Bottle Brush Single,Baby Products,3,8
Medium Baby Blanket,Baby Products,4,10
Medium Baby Monitor,Baby Products,5,12
Medium Baby Rattle 2 Pack,Baby Products,2,5
Medium Baby Rattle 3 Pack,Baby Products,3,7
Medium Baby Rattle 4 Pack,Baby Products,2,5
Medium Baby Rattle Single,Baby Products,3,7
Medium Baby Shampoo,Baby Products,3,7
Medium Baby Stroller 2 Pack,Baby Products,5,12
Medium Baby Stroller 3 Pack,Baby Products,6,14
Medium Baby Stroller 4 Pack,Baby Products,5,12
Medium Baby Stroller Single,Baby Products,6,14
Medium Baby Wipes 2 Pack,Baby Products,2,5
Medium Baby Wipes 3 Pack,Baby Products,3,7
Medium Baby Wipes 4 Pack,Baby Products,2,5
Medium Baby Wipes Single,Baby Products,3,7
Medium Bottle Brush 2 Pack,Baby Products,2,5
Medium Bottle Brush 3 Pack,Baby Products,3,7
Medium Bottle Brush 4 Pack,Baby Products,2,5
Medium Bottle Brush Single,Baby Products,3,7
Mini Baby Blanket,Baby Products,3,8
Mini Baby Monitor,Baby Products,4,10
Mini Baby Rattle 2 Pack,Baby Products,3,7
Mini Baby Rattle 3 Pack,Baby Products,2,5
Mini Baby Rattle 4 Pack,Baby Products,3,7
Mini Baby Rattle Single,Baby Products,2,5
Mini Baby Shampoo,Baby Products,2,5
Mini Baby Stroller 2 Pack,Baby Products,6,14
Mini Baby Stroller 3 Pack,Baby Products,5,12
Mini Baby Stroller 4 Pack,Baby Products,6,14
Mini Baby Stroller Single,Baby Products,5,12
Mini Baby Wipes 2 Pack,Baby Products,3,7
Mini Baby Wipes 3 Pack,Baby Products,2,5
Mini Baby Wipes 4 Pack,Baby Products,3,7
Mini Baby Wipes Single,Baby Products,2,5
Mini Bottle Brush 2 Pack,Baby Products,3,7
Mini Bottle Brush 3 Pack,Baby Products,2,5
Mini Bottle Brush 4 Pack,Baby Products,3,7
Mini Bottle Brush Single,Baby Products,2,5
Pacifier,Baby Products,1,3
Pacifier - 2 Pack,Baby Products,2,5
Pacifier - 3 Pack,Baby Products,1,3
Pacifier - 4 Pack,Baby Products,2,5
Pacifier - Single,Baby Products,1,3
Premium Baby Blanket,Baby Products,4,10
Premium Baby Monitor,Baby Products,5,12
Premium Baby Rattle 2 Pack,Baby Products,2,5
Premium Baby Rattle 3 Pack,Baby Products,3,7
Premium Baby Rattle 4 Pack,Baby Products,2,5
Premium Baby Rattle Single,Baby Products,3,7
Premium Baby Shampoo,Baby Products,3,7
Premium Baby Stroller 2 Pack,Baby Products,5,12
Premium Baby Stroller 3 Pack,Baby Products,6,14
Premium Baby Stroller 4 Pack,Baby Products,5,12
Premium Baby Stroller Single,Baby Products,6,14
Premium Baby Wipes 2 Pack,Baby Products,2,5
Premium Baby Wipes 3 Pack,Baby Products,3,7
Premium Baby Wipes 4 Pack,Baby Products,2,5
Premium Baby Wipes Single,Baby Products,3,7
Premium Bottle Brush 2 Pack,Baby Products,2,5
Premium Bottle Brush 3 Pack,Baby Products,3,7
Premium Bottle Brush 4 Pack,Baby Products,2,5
Premium Bottle Brush Single,Baby Products,3,7
Small Baby Blanket,Baby Products,3,9
Small Baby Monitor,Baby Products,4,11
Small Baby Rattle 2 Pack,Baby Products,3,8
Small Baby Rattle 3 Pack,Baby Products,2,6
Small Baby Rattle 4 Pack,Baby Products,3,8
Small Baby Rattle Single,Baby Products,2,6
Small Baby Shampoo,Baby Products,2,6
Small Baby Stroller 2 Pack,Baby Products,6,15
Small Baby Stroller 3 Pack,Baby Products,5,13
Small Baby Stroller 4 Pack,Baby Products,6,15
Small Baby Stroller Single,Baby Products,5,13
Small Baby Wipes 2 Pack,Baby Products,3,8
Small Baby Wipes 3 Pack,Baby Products,2,6
Small Baby Wipes 4 Pack,Baby Products,3,8
Small Baby Wipes Single,Baby Products,2,6
Small Bottle Brush 2 Pack,Baby Products,3,8
Small Bottle Brush 3 Pack,Baby Products,2,6
Small Bottle Brush 4 Pack,Baby Products,3,8
Small Bottle Brush Single,Baby Products,2,6
Standard Baby Bib 2 Pack,Baby Products,3,7
Standard Baby Bib 3 Pack,Baby Products,2,5
Standard Baby Bib 4 Pack,Baby Products,3,7
Standard Baby Bib Single,Baby Products,2,5
Standard Baby Bottle,Baby Products,2,5
Standard Baby Carrier 2 Pack,Baby Products,5,12
Standard Baby Carrier 3 Pack,Baby Products,4,10
Standard Baby Carrier 4 Pack,Baby Products,5,12
Standard Baby Carrier Single,Baby Products,4,10
Standard Baby Diapers,Baby Products,2,5
Standard Baby Hat,Baby Products,2,5
Standard Baby Lotion 2 Pack,Baby Products,3,7
Standard Baby Lotion 3 Pack,Baby Products,2,5
Standard Baby Lotion 4 Pack,Baby Products,3,7
Standard Baby Lotion Single,Baby Products,2,5
Standard Changing Mat 2 Pack,Baby Products,4,10
Standard Changing Mat 3 Pack,Baby Products,3,8
Standard Changing Mat 4 Pack,Baby Products,4,10
Standard Changing Mat Single,Baby Products,3,8
Standard Teething Ring,Baby Products,2,5
Teething Ring,Baby Products,2,5
Travel Baby Blanket,Baby Products,3,9
Travel Baby Monitor,Baby Products,4,11
Travel Baby Rattle 2 Pack,Baby Products,3,8
Travel Baby Rattle 3 Pack,Baby Products,2,6
Travel Baby Rattle 4 Pack,Baby Products,3,8
Travel Baby Rattle Single,Baby Products,2,6
Travel Baby Shampoo,Baby Products,2,6
Travel Baby Stroller 2 Pack,Baby Products,6,15
Travel Baby Stroller 3 Pack,Baby Products,5,13
Travel Baby Stroller 4 Pack,Baby Products,6,15
Travel Baby Stroller Single,Baby Products,5,13
Travel Baby Wipes 2 Pack,Baby Products,3,8
Travel Baby Wipes 3 Pack,Baby Products,2,6
Travel Baby Wipes 4 Pack,Baby Products,3,8
Travel Baby Wipes Single,Baby Products,2,6
Travel Bottle Brush 2 Pack,Baby Products,3,8
Travel Bottle Brush 3 Pack,Baby Products,2,6
Travel Bottle Brush 4 Pack,Baby Products,3,8
Travel Bottle Brush Single,Baby Products,2,6
Apple Pie,Bakery & Desserts,10,30
Bagel,Bakery & Desserts,3,8
Brown Bread,Bakery & Desserts,2,5
Brownie,Bakery & Desserts,5,15
Cheesecake,Bakery & Desserts,10,30
Chocolate Cake,Bakery & Desserts,10,30
Chocolate Pudding,Bakery & Desserts,5,15
Classic Apple Pie,Bakery & Desserts,10,30
Classic Brown Bread 2 Pack,Bakery & Desserts,3,7
Classic Brown Bread 3 Pack,Bakery & Desserts,2,5
Classic Brown Bread 4 Pack,Bakery & Desserts,3,7
Classic Brown Bread Single,Bakery & Desserts,2,5
Classic Cheesecake 2 Pack,Bakery & Desserts,11,32
Classic Cheesecake 3 Pack,Bakery & Desserts,10,30
Classic Cheesecake 4 Pack,Bakery & Desserts,11,32
Classic Cheesecake Single,Bakery & Desserts,10,30
Classic Donut,Bakery & Desserts,3,10
Classic Ice Cream Tub 2 Pack,Bakery & Desserts,3,7
Classic Ice Cream Tub 3 Pack,Bakery & Desserts,2,5
Classic Ice Cream Tub 4 Pack,Bakery & Desserts,3,7
Classic Ice Cream Tub Single,Bakery & Desserts,2,5
Classic Muffin,Bakery & Desserts,3,8
Croissant,Bakery & Desserts,3,8
Cupcake,Bakery & Desserts,3,8
Cupcake - 2 Pack,Bakery & Desserts,4,10
Cupcake - 3 Pack,Bakery & Desserts,3,8
Cupcake - 4 Pack,Bakery & Desserts,4,10
Cupcake - 6 Pack,Bakery & Desserts,3,8
Cupcake - Single,Bakery & Desserts,3,8
Deluxe Apple Pie,Bakery & Desserts,10,31
Deluxe Brown Bread 2 Pack,Bakery & Desserts,3,8
Deluxe Brown Bread 3 Pack,Bakery & Desserts,2,6
Deluxe Brown Bread 4 Pack,Bakery & Desserts,3,8
Deluxe Brown Bread Single,Bakery & Desserts,2,6
Deluxe Cheesecake 2 Pack,Bakery & Desserts,11,33
Deluxe Cheesecake 3 Pack,Bakery & Desserts,10,31
Deluxe Cheesecake 4 Pack,Bakery & Desserts,11,33
Deluxe Cheesecake Single,Bakery & Desserts,10,31
Deluxe Donut,Bakery & Desserts,3,11
Deluxe Ice Cream Tub 2 Pack,Bakery & Desserts,3,8
Deluxe Ice Cream Tub 3 Pack,Bakery & Desserts,2,6
Deluxe Ice Cream Tub 4 Pack,Bakery & Desserts,3,8
Deluxe Ice Cream Tub Single,Bakery & Desserts,2,6
Deluxe Muffin,Bakery & Desserts,3,9
Donut,Bakery & Desserts,3,10
Essential Apple Pie,Bakery & Desserts,11,33
Essential Brown Bread 2 Pack,Bakery & Desserts,2,6
Essential Brown Bread 3 Pack,Bakery & Desserts,3,8
Essential Brown Bread 4 Pack,Bakery & Desserts,2,6
Essential Brown Bread Single,Bakery & Desserts,3,8
Essential Cheesecake 2 Pack,Bakery & Desserts,10,31
Essential Cheesecake 3 Pack,Bakery & Desserts,11,33
Essential Cheesecake 4 Pack,Bakery & Desserts,10,31
Essential Cheesecake Single,Bakery & Desserts,11,33
Essential Donut,Bakery & Desserts,4,13
Essential Ice Cream Tub 2 Pack,Bakery & Desserts,2,6
Essential Ice Cream Tub 3 Pack,Bakery & Desserts,3,8
Essential Ice Cream Tub 4 Pack,Bakery & Desserts,2,6
Essential Ice Cream Tub Single,Bakery & Desserts,3,8
Essential Muffin,Bakery & Desserts,4,11
Family Apple Pie,Bakery & Desserts,10,30
Family Brown Bread 2 Pack,Bakery & Desserts,3,7
Family Brown Bread 3 Pack,Bakery & Desserts,2,5
Family Brown Bread 4 Pack,Bakery & Desserts,3,7
Family Brown Bread Single,Bakery & Desserts,2,5
Family Cheesecake 2 Pack,Bakery & Desserts,11,32
Family Cheesecake 3 Pack,Bakery & Desserts,10,30
Family Cheesecake 4 Pack,Bakery & Desserts,11,32
Family Cheesecake Single,Bakery & Desserts,10,30
Family Donut,Bakery & Desserts,3,10
Family Ice Cream Tub 2 Pack,Bakery & Desserts,3,7
Family Ice Cream Tub 3 Pack,Bakery & Desserts,2,5
Family Ice Cream Tub 4 Pack,Bakery & Desserts,3,7
Family Ice Cream Tub Single,Bakery & Desserts,2,5
Family Muffin,Bakery & Desserts,3,8
Garlic Bread,Bakery & Desserts,8,18
Garlic Bread - 2 Pack,Bakery & Desserts,9,20
Garlic Bread - 3 Pack,Bakery & Desserts,8,18
Garlic Bread - 4 Pack,Bakery & Desserts,9,20
Garlic Bread - 6 Pack,Bakery & Desserts,8,18
Garlic Bread - Single,Bakery & Desserts,8,18
Gulab Jamun,Bakery & Desserts,8,20
Gulab Jamun - 2 Pack,Bakery & Desserts,9,22
Gulab Jamun - 3 Pack,Bakery & Desserts,8,20
Gulab Jamun - 4 Pack,Bakery & Desserts,9,22
Gulab Jamun - 6 Pack,Bakery & Desserts,8,20
Gulab Jamun - Single,Bakery & Desserts,8,20
Ice Cream Tub,Bakery & Desserts,2,5
Large Apple Pie,Bakery & Desserts,11,33
Large Brown Bread 2 Pack,Bakery & Desserts,2,6
Large Brown Bread 3 Pack,Bakery & Desserts,3,8
Large Brown Bread 4 Pack,Bakery & Desserts,2,6
Large Brown Bread Single,Bakery & Desserts,3,8
Large Cheesecake 2 Pack,Bakery & Desserts,10,31
